station_abbr;reference_timestamp;kaalnud0;kabetud0;kacoryd0;kafagud0;kafraxd0;kaquerd0;khpoacd0;kaalnud1;kabetud1;kacoryd1;kafagud1;kafraxd1;kaquerd1;khpoacd1
PDS;26.04.1983 00:00;2;2;8;0;0;0;0;;;;;;;
PDS;27.04.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;28.04.1983 00:00;0;0;30;0;0;0;0;;;;;;;
PDS;29.04.1983 00:00;0;0;2;0;0;0;0;;;;;;;
PDS;30.04.1983 00:00;0;8;8;0;0;0;0;;;;;;;
PDS;01.05.1983 00:00;0;2;2;0;0;0;0;;;;;;;
PDS;02.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;03.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;04.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;05.05.1983 00:00;2;4;0;0;0;0;0;;;;;;;
PDS;06.05.1983 00:00;0;8;0;0;0;0;4;;;;;;;
PDS;07.05.1983 00:00;2;4;0;0;0;0;0;;;;;;;
PDS;08.05.1983 00:00;0;4;0;0;0;0;0;;;;;;;
PDS;09.05.1983 00:00;0;4;2;0;0;0;0;;;;;;;
PDS;10.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;11.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;12.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;13.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;14.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;15.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;16.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;17.05.1983 00:00;2;14;0;0;0;0;8;;;;;;;
PDS;18.05.1983 00:00;0;2;0;0;0;0;4;;;;;;;
PDS;19.05.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;20.05.1983 00:00;2;8;0;0;0;0;10;;;;;;;
PDS;21.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;22.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;23.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;24.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;25.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;26.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;27.05.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;28.05.1983 00:00;0;0;0;0;0;0;10;;;;;;;
PDS;29.05.1983 00:00;0;2;0;0;0;0;2;;;;;;;
PDS;30.05.1983 00:00;2;0;0;0;0;0;2;;;;;;;
PDS;31.05.1983 00:00;4;8;2;0;0;0;6;;;;;;;
PDS;01.06.1983 00:00;0;14;0;0;0;0;0;;;;;;;
PDS;02.06.1983 00:00;4;8;0;0;0;0;24;;;;;;;
PDS;03.06.1983 00:00;20;4;0;0;0;0;62;;;;;;;
PDS;04.06.1983 00:00;44;8;2;0;0;0;18;;;;;;;
PDS;05.06.1983 00:00;100;6;0;0;0;0;40;;;;;;;
PDS;06.06.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;07.06.1983 00:00;110;0;0;0;0;0;34;;;;;;;
PDS;08.06.1983 00:00;292;0;0;0;0;0;50;;;;;;;
PDS;09.06.1983 00:00;32;0;0;0;0;0;16;;;;;;;
PDS;10.06.1983 00:00;26;0;0;0;0;0;22;;;;;;;
PDS;11.06.1983 00:00;28;0;0;0;0;0;84;;;;;;;
PDS;12.06.1983 00:00;48;0;0;0;0;0;114;;;;;;;
PDS;13.06.1983 00:00;0;0;0;0;0;0;10;;;;;;;
PDS;14.06.1983 00:00;0;0;0;0;0;0;16;;;;;;;
PDS;15.06.1983 00:00;0;0;0;0;0;0;20;;;;;;;
PDS;16.06.1983 00:00;0;0;0;0;0;0;4;;;;;;;
PDS;17.06.1983 00:00;28;0;0;0;0;0;16;;;;;;;
PDS;18.06.1983 00:00;6;0;0;0;0;0;20;;;;;;;
PDS;19.06.1983 00:00;6;0;0;0;0;0;54;;;;;;;
PDS;20.06.1983 00:00;0;0;0;0;0;0;62;;;;;;;
PDS;21.06.1983 00:00;2;0;0;0;0;0;22;;;;;;;
PDS;22.06.1983 00:00;16;0;0;0;0;0;80;;;;;;;
PDS;23.06.1983 00:00;6;0;0;0;0;0;88;;;;;;;
PDS;24.06.1983 00:00;4;0;0;0;0;0;102;;;;;;;
PDS;25.06.1983 00:00;2;0;0;0;0;0;52;;;;;;;
PDS;26.06.1983 00:00;0;0;0;0;0;0;82;;;;;;;
PDS;27.06.1983 00:00;4;0;0;0;0;0;100;;;;;;;
PDS;28.06.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;29.06.1983 00:00;4;0;0;0;0;0;20;;;;;;;
PDS;30.06.1983 00:00;0;0;0;0;0;0;84;;;;;;;
PDS;01.07.1983 00:00;0;0;0;0;0;0;14;;;;;;;
PDS;02.07.1983 00:00;2;0;0;0;0;0;68;;;;;;;
PDS;03.07.1983 00:00;4;0;0;0;0;0;120;;;;;;;
PDS;04.07.1983 00:00;4;0;0;0;0;0;80;;;;;;;
PDS;05.07.1983 00:00;0;0;0;0;0;0;56;;;;;;;
PDS;06.07.1983 00:00;0;2;0;0;0;0;106;;;;;;;
PDS;07.07.1983 00:00;0;0;0;0;0;0;82;;;;;;;
PDS;08.07.1983 00:00;2;0;0;0;0;0;70;;;;;;;
PDS;09.07.1983 00:00;0;0;0;0;0;0;4;;;;;;;
PDS;10.07.1983 00:00;0;0;0;0;0;0;34;;;;;;;
PDS;11.07.1983 00:00;0;0;0;0;0;0;58;;;;;;;
PDS;12.07.1983 00:00;0;0;0;0;0;0;54;;;;;;;
PDS;13.07.1983 00:00;0;0;0;0;0;0;72;;;;;;;
PDS;14.07.1983 00:00;0;0;0;0;0;0;52;;;;;;;
PDS;15.07.1983 00:00;0;0;0;0;0;0;214;;;;;;;
PDS;16.07.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;17.07.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;18.07.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;19.07.1983 00:00;0;0;0;0;0;0;70;;;;;;;
PDS;20.07.1983 00:00;0;0;0;0;0;0;12;;;;;;;
PDS;21.07.1983 00:00;0;0;0;0;0;0;88;;;;;;;
PDS;22.07.1983 00:00;0;0;0;0;0;0;114;;;;;;;
PDS;23.07.1983 00:00;0;0;0;0;0;0;84;;;;;;;
PDS;24.07.1983 00:00;0;0;0;0;0;0;124;;;;;;;
PDS;25.07.1983 00:00;0;0;0;0;0;0;112;;;;;;;
PDS;26.07.1983 00:00;0;0;0;0;0;0;14;;;;;;;
PDS;27.07.1983 00:00;0;0;0;0;0;0;56;;;;;;;
PDS;28.07.1983 00:00;0;0;0;0;0;0;56;;;;;;;
PDS;29.07.1983 00:00;0;0;0;0;0;0;20;;;;;;;
PDS;30.07.1983 00:00;0;0;0;0;0;0;18;;;;;;;
PDS;31.07.1983 00:00;0;0;0;0;0;0;34;;;;;;;
PDS;01.08.1983 00:00;0;0;0;0;0;0;58;;;;;;;
PDS;02.08.1983 00:00;0;0;0;0;0;0;6;;;;;;;
PDS;03.08.1983 00:00;0;0;0;0;0;0;6;;;;;;;
PDS;04.08.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;05.08.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;06.08.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;07.08.1983 00:00;2;0;0;0;0;0;0;;;;;;;
PDS;08.08.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;09.08.1983 00:00;0;0;0;0;0;0;8;;;;;;;
PDS;10.08.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;11.08.1983 00:00;0;0;0;0;0;0;4;;;;;;;
PDS;12.08.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;13.08.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;14.08.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;15.08.1983 00:00;0;0;0;0;0;0;30;;;;;;;
PDS;16.08.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;17.08.1983 00:00;0;0;0;0;0;0;4;;;;;;;
PDS;18.08.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;19.08.1983 00:00;0;0;0;0;0;0;6;;;;;;;
PDS;20.08.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;21.08.1983 00:00;0;0;0;0;0;0;8;;;;;;;
PDS;22.08.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;23.08.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;24.08.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;25.08.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;26.08.1983 00:00;0;0;0;0;0;0;6;;;;;;;
PDS;27.08.1983 00:00;0;0;0;0;0;0;14;;;;;;;
PDS;28.08.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;29.08.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;30.08.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;31.08.1983 00:00;0;0;0;0;0;0;6;;;;;;;
PDS;01.09.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;02.09.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;03.09.1983 00:00;0;0;0;0;0;0;6;;;;;;;
PDS;04.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;05.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;06.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;07.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;08.09.1983 00:00;0;0;0;0;0;0;4;;;;;;;
PDS;09.09.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;10.09.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;11.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;12.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;13.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;14.09.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;15.09.1983 00:00;0;0;0;0;0;0;12;;;;;;;
PDS;16.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;17.09.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;18.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;19.09.1983 00:00;0;0;0;0;0;0;4;;;;;;;
PDS;20.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;21.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;22.09.1983 00:00;0;0;0;0;0;0;4;;;;;;;
PDS;23.09.1983 00:00;0;0;0;0;0;0;4;;;;;;;
PDS;24.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;25.09.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;26.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;27.09.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;28.09.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;29.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;30.09.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;01.10.1983 00:00;0;0;0;0;0;0;6;;;;;;;
PDS;02.10.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;03.10.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;04.10.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;05.10.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;06.10.1983 00:00;0;0;0;0;0;0;0;;;;;;;
PDS;07.10.1983 00:00;0;0;0;0;0;0;2;;;;;;;
PDS;08.10.1983 00:00;0;0;0;0;0;0;0;;;;;;;
